title,year,imdbRating,imdbVotes,metacriticScore,metacriticRating,runningTime,numberOfEpisodes,genre
The Queen’s Gambit,2020,8.6,251339,79,4.5,46,7,drama
Emily in Paris,2020,7.1,43687,58,5.7,30,10,comedy
Lucifer,2016,8.1,231951,49,6.9,42,75,drama
The Umbrella Academy,2019,8,158577,63,7.3,40,20,drama
Money Heist,2017,8.3,297407,,6.8,41,31,drama
Dark Desire,2020,6.4,3426,,,30,18,drama
Friends,1994,8.9,826519,65,8.6,20,236,sitcom
The Crown,2016,8.7,148864,84,8.7,47,40,drama
Ratched,2020,7.3,37965,50,6.6,45,8,drama
Dark,2017,8.8,283119,50,6.6,44,26,drama
